id,title,type,release_year,runtime,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts22039,H,SHOW,1998,25,comedy,FR,7.4,1727.0,7.905,7.6
tm188606,Sankofa,MOVIE,1993,124,"drama, european","DE, GH, GB, US, BF",7.0,692.0,1.858,6.5
tm41525,Herod's Law,MOVIE,1999,123,"comedy, crime, thriller",MX,7.8,6035.0,10.506,7.9
tm189171,Wild Tango,MOVIE,1993,124,"drama, music, romance","ES, AR",6.7,1584.0,5.092,6.1
tm63514,The Last Days,MOVIE,1998,87,"drama, history, war, documentation",US,7.9,4378.0,3.766,7.8
tm21911,Sam Kinison: Live in Vegas,MOVIE,1991,72,"comedy, music, documentation",US,6.6,276.0,0.656,6.0
tm188970,Bill Hicks: Revelations,MOVIE,1993,74,"comedy, documentation",GB,8.5,3098.0,3.784,8.1
tm12876,Bombay,MOVIE,1995,141,"drama, romance",IN,8.1,12629.0,4.99,7.2
tm62176,Mann,MOVIE,1999,174,"drama, romance",IN,6.1,5451.0,2.595,6.7
tm52871,Soldier,MOVIE,1998,156,"thriller, action, drama, romance",IN,6.2,3063.0,3.623,5.7
tm104933,Sinbad: Son of a Preacher Man,MOVIE,1996,56,"comedy, documentation",US,6.8,116.0,1.536,5.8
tm184326,Damini,MOVIE,1993,175,"drama, crime",IN,7.8,3523.0,3.328,7.3
tm62385,Hum Saath Saath Hain,MOVIE,1999,177,"romance, family, fantasy, drama",IN,6.2,8552.0,7.865,6.0
tm191614,Destiny,MOVIE,1997,136,"drama, history, comedy, romance","FR, EG",7.1,2857.0,3.287,6.7
tm110766,Chronicle of a Disappearance,MOVIE,1996,88,drama,"PS, US, FR, DE",6.9,733.0,2.099,6.7
tm9898,Muthu,MOVIE,1995,165,"comedy, drama, action, romance",IN,7.6,3056.0,3.576,6.9
tm47530,Jeans,MOVIE,1998,175,"comedy, drama, romance",IN,6.4,3604.0,3.393,6.5
tm57169,Monty Python: Live at Aspen,MOVIE,1998,58,"comedy, documentation","GB, US",7.8,1096.0,2.681,6.9
tm192301,Minsara Kanavu,MOVIE,1997,145,"comedy, romance, drama",IN,6.7,1226.0,2.316,6.6
tm58893,Duplicate,MOVIE,1998,165,"comedy, action, crime, thriller",IN,5.5,7618.0,4.112,6.0
tm110160,Avvai Shanmugi,MOVIE,1996,160,"drama, comedy",IN,7.9,2586.0,2.828,7.5
tm118438,Anjaam,MOVIE,1994,137,"romance, crime, thriller, drama",IN,6.6,6532.0,3.806,7.1
tm424630,A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,100,"drama, sport",US,7.2,250.0,1.533,5.1
tm27601,Phir Bhi Dil Hai Hindustani,MOVIE,2000,160,"comedy, romance, drama",IN,6.1,7610.0,7.778,6.6
tm203186,Children of Shatila,MOVIE,1999,50,"documentation, history",LB,8.1,78.0,1.635,6.7
tm7951,Tim Allen: Rewires America,MOVIE,1991,30,"comedy, documentation",US,6.0,198.0,2.297,7.0
tm52083,West Beirut,MOVIE,1998,105,"romance, drama, comedy, war, european","FR, NO, LB, BE",7.6,4221.0,3.308,7.3
tm340430,Govindha Govindha,MOVIE,1993,145,"drama, action, crime",IN,6.6,356.0,1.248,4.0
tm7032,Out of Life,MOVIE,1991,97,"drama, war, crime, european","BE, FR, IT, LB",6.9,376.0,2.481,6.2
tm256669,Gumrah,MOVIE,1993,149,"drama, action, crime, thriller",IN,6.1,795.0,1.763,6.7
tm64729,Sinbad: Nothin' but the Funk,MOVIE,1998,56,"comedy, documentation",US,6.3,65.0,1.83,5.2
tm184224,Sinbad: Afros and Bellbottoms,MOVIE,1993,60,"comedy, documentation",US,7.8,172.0,3.793,5.5
tm25389,Fiza,MOVIE,2000,170,"romance, action, crime, drama, thriller",IN,6.0,4213.0,2.835,6.3
tm34391,Before the Flying Circus,MOVIE,2000,55,"comedy, documentation",GB,7.3,168.0,1.444,8.5
tm44776,The Other,MOVIE,1999,106,"romance, european, drama","FR, EG",5.9,997.0,1.12,5.9
tm334788,Yodha,MOVIE,1991,142,"action, drama",IN,4.5,198.0,1.554,5.0
tm117840,The Emigrant,MOVIE,1994,129,drama,"FR, EG",6.5,1015.0,1.4,6.0
tm42397,Hello Brother,MOVIE,1999,131,"comedy, romance, fantasy, action",IN,4.6,4262.0,4.338,5.3
tm314602,Dushmani,MOVIE,1995,156,"romance, action, drama",IN,5.0,249.0,2.045,7.5
tm7810,Nightmare in Columbia County,MOVIE,1991,100,"drama, thriller, crime",US,5.5,345.0,2.713,6.0
tm449775,Shikari,MOVIE,1991,162,"drama, action","IN, SU",5.8,68.0,1.323,5.0
ts4,Breaking Bad,SHOW,2008,48,"drama, crime, thriller",US,9.5,1775990.0,353.848,8.79
ts20371,Top Gear,SHOW,2002,58,"comedy, reality, european, music",GB,8.7,117240.0,45.549,7.4
ts9,The Walking Dead,SHOW,2010,46,"action, drama, scifi, horror, thriller",US,8.2,956604.0,597.277,8.1
ts21465,Supernatural,SHOW,2005,45,"scifi, horror, thriller, drama, fantasy",US,8.4,434081.0,388.093,8.278
tm74402,The Mist,MOVIE,2007,126,"horror, scifi, thriller",US,7.1,305346.0,37.369,6.9
tm91952,Mean Girls,MOVIE,2004,97,comedy,"CA, US",7.1,375975.0,57.235,7.2
ts288536,The Great British Baking Show,SHOW,2010,57,"reality, european",GB,8.6,9856.0,5.581,7.7
ts12724,30 Rock,SHOW,2006,25,"comedy, sport",US,8.3,122698.0,48.88,7.4
ts6644,Borgen,SHOW,2010,58,"drama, european",DK,8.5,25485.0,51.118,8.1
ts8308,Community,SHOW,2009,23,comedy,US,8.5,257221.0,42.357,8.0
tm111828,Catch Me If You Can,MOVIE,2002,141,"drama, crime",US,8.1,952602.0,72.321,8.0
ts21469,Grey's Anatomy,SHOW,2005,49,"drama, romance",US,7.6,299165.0,803.786,8.252
ts17156,Arrested Development,SHOW,2003,28,comedy,US,8.7,300445.0,30.131,8.043
ts22011,Heartland,SHOW,2007,44,"drama, family",CA,8.4,16337.0,74.638,8.3
ts26091,The Staircase,SHOW,2004,49,"crime, documentation, drama",FR,7.8,21531.0,10.922,7.7
tm150112,Old School,MOVIE,2003,88,"comedy, european",US,7.0,229171.0,17.131,6.577
ts22337,NCIS,SHOW,2003,43,"crime, action, thriller, drama, comedy",US,7.8,143846.0,251.622,7.6
ts3371,Avatar: The Last Airbender,SHOW,2005,24,"scifi, animation, action, family, fantasy",US,9.3,303666.0,56.915,8.7
tm80906,Anchorman: The Legend of Ron Burgundy,MOVIE,2004,95,comedy,US,7.1,353118.0,20.606,6.7
ts20604,Friday Night Lights,SHOW,2006,43,"drama, sport",US,8.7,65199.0,19.681,8.1
ts20573,The IT Crowd,SHOW,2006,25,"comedy, european",GB,8.5,149586.0,31.031,8.108
tm92641,Inception,MOVIE,2010,148,"action, scifi, music, thriller","US, GB",8.8,2294231.0,108.284,8.4
ts22099,The Spectacular Spider-Man,SHOW,2008,22,"action, animation, family, scifi, comedy",US,8.3,14996.0,41.509,8.705
tm27911,The Departed,MOVIE,2006,151,"drama, thriller, crime, action",US,8.5,1296244.0,33.795,8.2
ts21464,Zoey 101,SHOW,2005,25,"drama, comedy, family, romance",US,6.1,15808.0,53.044,8.2
tm88465,Insidious,MOVIE,2010,103,"horror, thriller","CA, US",6.8,303820.0,99.129,6.929
tm172683,War of the Worlds,MOVIE,2005,117,"action, thriller, scifi",US,6.5,444229.0,36.989,6.474
ts11313,DEATH NOTE,SHOW,2006,24,"animation, thriller, scifi, drama, fantasy, crime",JP,9.0,309445.0,120.545,8.664
ts21247,The Vampire Diaries,SHOW,2009,42,"drama, scifi, horror, romance, thriller, fantasy",US,7.7,314422.0,479.354,8.348
ts20305,Naruto,SHOW,2002,23,"animation, action, scifi, comedy, fantasy, thriller",JP,8.4,96729.0,218.843,8.363
tm42877,Wanted,MOVIE,2008,110,"action, thriller, crime, fantasy","DE, US",6.7,384995.0,33.101,6.5
tm39030,Casino Royale,MOVIE,2006,144,"action, thriller, european","DE, GB, US, BS, CZ",8.0,649676.0,40.164,7.518
ts21511,My Little Pony: Friendship Is Magic,SHOW,2010,22,"comedy, scifi, animation, fantasy, family, drama, music","CA, US",7.6,20910.0,52.369,8.1
ts17942,Chappelle's Show,SHOW,2003,21,"comedy, music",US,8.8,63107.0,14.116,8.1
tm89677,The Terminal,MOVIE,2004,128,"drama, comedy, romance",US,7.4,441752.0,21.384,7.3
tm78592,Michael Clayton,MOVIE,2007,114,"thriller, drama, crime",US,7.2,165109.0,16.97,6.7
tm105329,Road to Perdition,MOVIE,2002,117,"thriller, documentation, drama, crime",US,7.7,265216.0,18.739,7.4
ts30311,Victorious,SHOW,2010,25,"comedy, family, drama, music, romance, sport",US,6.9,24838.0,71.494,8.221
tm139658,Big Fish,MOVIE,2003,125,"action, fantasy, drama, romance",US,8.0,437650.0,21.158,7.769
tm26327,The Hurt Locker,MOVIE,2008,131,"thriller, drama, war",US,7.5,446904.0,28.341,7.3
tm95477,Troy,MOVIE,2004,163,"action, history, war, drama, european","MT, GB, US",7.3,527447.0,48.407,7.1
tm154187,Sherlock Holmes,MOVIE,2009,129,"crime, thriller, action","AU, DE, GB, US",7.6,625708.0,43.297,7.2
ts22267,Trailer Park Boys,SHOW,2001,25,"comedy, crime",CA,8.6,42733.0,22.603,8.0
tm133767,Love Actually,MOVIE,2003,135,"drama, comedy, romance","GB, US",7.6,476101.0,36.484,7.1
ts2230,America's Next Top Model,SHOW,2003,44,reality,US,5.6,17905.0,14.501,5.3
tm45454,Get Smart,MOVIE,2008,110,"comedy, thriller, action",US,6.5,216695.0,22.421,6.2
tm26897,Quantum of Solace,MOVIE,2008,106,"thriller, action","GB, US",6.6,444241.0,31.298,6.304
tm133374,The Blind Side,MOVIE,2009,129,"drama, sport",US,7.6,327675.0,63.663,7.661
tm136808,Identity,MOVIE,2003,90,thriller,US,7.3,240433.0,19.558,7.181
