id,person_id,name,role
tm16479,45687,Sig Ruman,ACTOR
tm16479,132394,Grady Sutton,ACTOR
tm16479,71905,Herb Vigran,ACTOR
tm16479,498631,Robert Crosson,ACTOR
tm16479,14797,Michael Curtiz,DIRECTOR
tm135083,173189,Farid Shawqi,ACTOR
tm135083,530033,Hind Rostom,ACTOR
tm135083,173191,Youssef Chahine,ACTOR
tm135083,1321002,Hassan el Baroudi,ACTOR
tm135083,557165,Abdel Aziz Khalil,ACTOR
tm135083,557166,Said Khalil,ACTOR
tm135083,557167,Abdel Ghani Nagdi,ACTOR
tm135083,557168,Loutfi El Hakim,ACTOR
tm135083,557169,Abdel Hamid Bodaoha,ACTOR
tm135083,557170,F. El Demerdache,ACTOR
tm135083,557171,Said El Araby,ACTOR
tm135083,538017,Ahmed Abaza,ACTOR
tm135083,557172,Hana Abdel Fattah,ACTOR
tm135083,557173,Safia Sarwat,ACTOR
tm135083,557178,Asaad Kellada,ACTOR
tm135083,555008,Naima Wasfy,ACTOR
tm135083,1521416,Sherine,ACTOR
tm135083,1521414,Soheir,ACTOR
tm135083,1321149,Esmat Mahmoud,ACTOR
tm135083,1521441,Nawal Morsi,ACTOR
tm135083,1521413,Gharib Moawad,ACTOR
tm135083,1521412,Mohamed Mazhar,ACTOR
tm135083,1521534,Galal Issa,ACTOR
tm135083,1521409,Mahrous El Garhi,ACTOR
tm135083,1521506,Ahmed El Tantawi,ACTOR
tm135083,1521407,S. Abdel Aziz,ACTOR
tm135083,225932,Nadia Lotfi,ACTOR
tm135083,2342528,Safia Tharwat,ACTOR
tm135083,173191,Youssef Chahine,DIRECTOR
tm89386,218173,Gert Westphal,ACTOR
tm89386,41187,Joachim Fest,DIRECTOR
tm156453,15595,Jane Fonda,ACTOR
tm156453,1765,Donald Sutherland,ACTOR
tm156453,529469,Pamela Donegan,ACTOR
tm156453,529467,Len Chandler,ACTOR
tm156453,37864,Michael Alaimo,ACTOR
tm156453,208243,Holly Near,ACTOR
tm156453,70582,Paul Mooney,ACTOR
tm156453,488851,Rita Martinson,ACTOR
tm156453,32267,Peter Boyle,ACTOR
tm156453,473965,Steve Jaffe,ACTOR
tm156453,529468,Francine Parker,DIRECTOR
tm14350,173189,Farid Shawqi,ACTOR
tm14350,530826,Mahmoud el-Meliguy,ACTOR
tm14350,216804,Ezzat El Alaili,ACTOR
tm14350,538123,Youssef Wahby,ACTOR
tm14350,537218,Yehia Chahine,ACTOR
tm14350,558944,Leila Fawzi,ACTOR
tm14350,745894,Akela Kateb,ACTOR
tm14350,1326853,Zeinab Sedky,ACTOR
tm14350,493971,Ahmad Abdel Waress,ACTOR
tm14350,479007,Abdel Azziz Makhyoun,ACTOR
tm14350,745892,Ahmed Mehrez,ACTOR
tm14350,540702,Abdel Warith Assir,ACTOR
tm14350,745900,Aida Kamel,ACTOR
tm14350,745891,Oussaida Abbass,ACTOR
tm14350,536986,Zouzou Hamdy El-Hakim,ACTOR
tm14350,745890,Abdel Salam Mohamed,ACTOR
tm14350,745889,Halima El Soghayar,ACTOR
tm14350,745888,Samira Mohamed,ACTOR
tm14350,745887,Abou Hachich,ACTOR
tm14350,745886,Gamil El Traboulsi,ACTOR
tm14350,223449,Ahmad Zaki,ACTOR
tm14350,323651,Ahmad Bedir,ACTOR
tm14350,530275,Naglaa Fathy,ACTOR
tm14350,452580,Abdullah Mahmoud,ACTOR
tm14350,1113158,Mohsena Tawfik,ACTOR
tm14350,740561,Seif Abdelrahman,ACTOR
tm14350,173191,Youssef Chahine,DIRECTOR
tm81728,216804,Ezzat El Alaili,ACTOR
tm81728,530826,Mahmoud el-Meliguy,ACTOR
tm81728,452578,Hamdy Ahmed,ACTOR
tm81728,537218,Yehia Chahine,ACTOR
tm81728,498370,Tewfik El Dekn,ACTOR
tm81728,676484,Ali El Sherif,ACTOR
tm81728,451939,Salah El-Saadany,ACTOR
tm81728,525264,Nagwa Ibrahim,ACTOR
tm81728,540702,Abdel Warith Assir,ACTOR
tm81728,1332498,Fatma Omara‏,ACTOR
tm81728,1635403,Ashraf Al-Selehdar,ACTOR
tm81728,1320859,Hussein Ismail,ACTOR
tm81728,1330957,Mahmoud Al Iraq,ACTOR
tm81728,1014405,Faiza Abdelgawwad,ACTOR
tm81728,173191,Youssef Chahine,DIRECTOR
tm94651,6958,Amitabh Bachchan,ACTOR
tm94651,104308,Shatrughan Sinha,ACTOR
tm94651,105220,Zeenat Aman,ACTOR
tm94651,57763,Prem Chopra,ACTOR
tm94651,63303,Amrish Puri,ACTOR
tm94651,105226,Helen,ACTOR
tm94651,105221,Pran,ACTOR
tm94651,511559,Gajanan Jagirdar,ACTOR
tm94651,511558,Sajjan,ACTOR
tm94651,68725,Iftekhar,ACTOR
tm94651,434348,K.N. Singh,ACTOR
tm94651,568116,Trilok Kapoor,ACTOR
tm94651,511561,Abhimanyu Sharma,ACTOR
tm94651,299653,Goga Kapoor,ACTOR
tm94651,105228,Mac Mohan,ACTOR
tm94651,104310,Paintal,ACTOR
tm94651,509316,Jagdish Raj,ACTOR
tm94651,509943,Ruby Myers,ACTOR
tm94651,199763,Yunus Parvez,ACTOR
tm94651,216331,Raj Khosla,DIRECTOR
tm27298,553375,Ahmad Mazhar,ACTOR
tm27298,225932,Nadia Lotfi,ACTOR
tm27298,215296,Salah Zulfikar,ACTOR
tm27298,558944,Leila Fawzi,ACTOR
tm27298,520600,Hamdy Ghaith,ACTOR
tm27298,381250,Laila Taher,ACTOR
tm27298,471620,Omar El-Hariri,ACTOR
tm27298,152472,Husain Reyadh,ACTOR
tm27298,530826,Mahmoud el-Meliguy,ACTOR
tm27298,576037,Zaki Toleimat,ACTOR
tm27298,498370,Tewfik El Dekn,ACTOR
tm27298,899933,Mohamed Hamdy,ACTOR
tm27298,1533795,Mohamed Sultan,ACTOR
tm27298,1533801,Mohamed Abdel Gawad,ACTOR
tm27298,1533807,Sami Loutfi,ACTOR
tm27298,2172269,Ibrahim Emara,ACTOR
tm27298,546021,Ahmed Louxor,ACTOR
tm27298,500657,Salah Nazmi,ACTOR
tm27298,173191,Youssef Chahine,DIRECTOR
tm100027,63665,Dharmendra,ACTOR
tm100027,134657,Hema Malini,ACTOR
tm100027,105220,Zeenat Aman,ACTOR
tm100027,57763,Prem Chopra,ACTOR
tm100027,514364,Zakir Mukhamedzhanov,ACTOR
tm100027,223525,Sofiko Chiaureli,ACTOR
tm100027,221086,Yelena Sanayeva,ACTOR
tm100027,358575,Frunzik Mkrtchyan,ACTOR
tm100027,219025,Maya-Gozel Aimedova,ACTOR
tm100027,434193,Umesh Mehra,DIRECTOR
tm100027,514365,Latif Faiziyev,DIRECTOR
tm19608,225931,Faten Hamamah,ACTOR
tm19608,15793,Omar Sharif,ACTOR
tm19608,219842,Zaki Rostom,ACTOR
tm19608,173189,Farid Shawqi,ACTOR
tm19608,540702,Abdel Warith Assir,ACTOR
tm19608,493971,Ahmad Abdel Waress,ACTOR
tm19608,520600,Hamdy Ghaith,ACTOR
tm19608,562959,Abdel Ghani Kamar,ACTOR
tm19608,988354,Zaki Ibrahim,ACTOR
tm19608,173191,Youssef Chahine,DIRECTOR
tm204541,15793,Omar Sharif,ACTOR
tm204541,225931,Faten Hamamah,ACTOR
tm204541,225933,Ahmed Ramzy,ACTOR
tm204541,498370,Tewfik El Dekn,ACTOR
tm204541,560735,Ferdoos Mohammed,ACTOR
tm204541,152472,Husain Reyadh,ACTOR
tm204541,173191,Youssef Chahine,DIRECTOR
tm259855,479396,Maroun Bagdadi,DIRECTOR
tm356209,173252,Shammi Kapoor,ACTOR
tm356209,150319,Padmini,ACTOR
tm356209,550685,Maria Menado,ACTOR
tm356209,132270,Shashikala,ACTOR
tm356209,222315,Agha,ACTOR
tm356209,222342,Shakti Samanta,DIRECTOR
ts45948,11472,Graham Chapman,ACTOR
ts45948,1549,John Cleese,ACTOR
ts45948,11474,Eric Idle,ACTOR
ts45948,11475,Terry Jones,ACTOR
ts45948,11476,Michael Palin,ACTOR
ts45948,16383,Ian MacNaughton,DIRECTOR
tm200475,216804,Ezzat El Alaili,ACTOR
tm200475,592619,Mireille Maalouf,ACTOR
tm200475,339953,Joseph Bou Nassar,ACTOR
tm200475,943833,Philippe Akiki,ACTOR
tm200475,943835,Ahmed Al Zain,ACTOR
tm200475,479396,Maroun Bagdadi,DIRECTOR
tm90896,530826,Mahmoud el-Meliguy,ACTOR
tm90896,557940,Hoda Soltan,ACTOR
tm90896,225934,Shukri Sarhan,ACTOR
tm90896,534050,Soheir El-Morshidy,ACTOR
tm90896,391527,Hesham Selim,ACTOR
tm90896,744938,Majida El Roumi,ACTOR
tm90896,676484,Ali El Sherif,ACTOR
tm90896,1095845,Rajaa Hussain,ACTOR
tm90896,524174,Sid Ali Kouiret,ACTOR
tm90896,744936,Ali Mahrez,ACTOR
tm90896,323651,Ahmad Bedir,ACTOR
tm90896,173191,Youssef Chahine,DIRECTOR
tm336403,867952,Mahendra Sandhu,ACTOR
tm336403,20201,Danny Denzongpa,ACTOR
tm336403,69039,Jagdeep,ACTOR
tm336403,524849,Faryal,ACTOR
tm336403,460070,Padma Khanna,ACTOR
tm336403,66223,Asit Sen,ACTOR
tm336403,618228,Karan Dewan,ACTOR
tm336403,222315,Agha,ACTOR
tm336403,497329,Murad,ACTOR
tm336403,727227,Sabina,ACTOR
tm336403,549933,Mohammed Hussain,DIRECTOR
tm107372,1682144,Suhail Tatari,DIRECTOR
tm358653,218950,Mala Sinha,ACTOR
tm358653,173252,Shammi Kapoor,ACTOR
tm358653,64409,Raaj Kumar,ACTOR
tm358653,515741,Leela Chitnis,ACTOR
tm358653,64411,Kumkum,ACTOR
tm358653,434350,Dhumal,ACTOR
tm358653,216444,Tun Tun,ACTOR
tm358653,64529,Asrani,ACTOR
tm358653,1945610,Suresh,ACTOR
tm259684,2434209,Nadia Tueni,ACTOR
tm259684,479396,Maroun Bagdadi,DIRECTOR
tm403346,522301,A. Salaam,DIRECTOR
tm16812,518321,Uttam Kumar,ACTOR
tm16812,522302,Sulakshana Pandit,ACTOR
tm16812,132302,Utpal Dutt,ACTOR
tm16812,906104,Alo Sarkar,DIRECTOR
ts20681,32954,Jerry Seinfeld,ACTOR
ts20681,12464,Jason Alexander,ACTOR
ts20681,43320,Michael Richards,ACTOR
ts20681,12018,Julia Louis-Dreyfus,ACTOR
tm155787,5313,Ray Liotta,ACTOR
tm155787,3748,Robert De Niro,ACTOR
tm155787,9438,Joe Pesci,ACTOR
tm155787,9439,Lorraine Bracco,ACTOR
tm155787,8280,Paul Sorvino,ACTOR
tm155787,9441,Frank Sivero,ACTOR
tm155787,9443,Tony Darrow,ACTOR
tm155787,6329,Mike Starr,ACTOR
tm155787,9444,Frank Vincent,ACTOR
tm155787,9440,Chuck Low,ACTOR
tm155787,9442,Frank DiLeo,ACTOR
tm155787,507403,Henny Youngman,ACTOR
tm155787,9448,Gina Mastrogiacomo,ACTOR
tm155787,9446,Catherine Scorsese,ACTOR
tm155787,9451,Charles Scorsese,ACTOR
tm155787,9447,Suzanne Shepherd,ACTOR
tm155787,9449,Debi Mazar,ACTOR
tm155787,9453,Margo Winkler,ACTOR
tm155787,4103,Welker White,ACTOR
tm155787,9454,Jerry Vale,ACTOR
tm155787,9455,Julie Garfield,ACTOR
tm155787,53404,Christopher Serrone,ACTOR
tm155787,9456,Elaine Kagan,ACTOR
tm155787,9457,Beau Starr,ACTOR
tm155787,6693,Kevin Corrigan,ACTOR
tm155787,9450,Michael Imperioli,ACTOR
tm155787,758896,Robbie Vinton,ACTOR
tm155787,9034,Johnny Williams,ACTOR
tm155787,9458,Daniel P. Conte,ACTOR
tm155787,9459,Tony Conforti,ACTOR
tm155787,598816,Frank Pellegrino,ACTOR
tm155787,9461,Ronald Maccone,ACTOR
tm155787,9462,Tony Sirico,ACTOR
tm155787,9463,Joseph D'Onofrio,ACTOR
tm155787,758894,Steve Forleo,ACTOR
tm155787,29074,Richard Dioguardi,ACTOR
tm155787,9445,Frank Adonis,ACTOR
tm155787,758851,John Manca,ACTOR
tm155787,758804,Joseph Bono,ACTOR
