id,title,type,release_year,runtime,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,actor_ids,director_ids
tm40103,Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,119,"scifi, animation, action, drama, war",JP,7.3,1693.0,8.092,6.7,"104709, 22311, 21512, 104233, 28172, 121262, 97330, 489108, 39711, 113908, 86777, 97338, 7423",104375
tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,133,"animation, scifi, action, drama, war",JP,7.2,1274.0,13.125,7.2,"39712, 22309, 97337, 28172, 97330, 172948, 97333, 97335, 97336, 463033, 97338, 95739, 504541, 7423",104375
ts2760,Fireman Sam,SHOW,1987,10,"animation, comedy, family, crime, european",GB,6.1,1785.0,37.647,7.2,"104901, 70378, 114126, 730639, 114128, 114129, 114127, 285010, 52151, 87165",277353
tm21953,Sam Kinison: Breaking the Rules,MOVIE,1987,50,"comedy, documentation",US,7.2,660.0,1.843,7.2,"30758, 110785, 491678, 491679",128365
tm126769,Waiting for the Hearse,MOVIE,1985,87,comedy,AR,8.0,6399.0,7.81,8.1,"361088, 186949, 484901, 57063, 199336, 197386, 133674, 79888, 350608, 479070, 1003708, 288821, 495582, 1041848, 26588, 391678, 1826975",402187
tm152839,Tim Allen: Men Are Pigs,MOVIE,1990,30,"comedy, documentation",US,6.1,360.0,2.482,6.3,6638,141630
tm49037,Mobile Suit Gundam III: Encounters in Space,MOVIE,1982,144,"action, drama, war, animation, scifi",JP,7.6,1236.0,12.741,7.5,"22309, 85701, 5478, 21513, 28172, 94767, 97330, 97332, 94678, 97336, 463033, 97338, 97337, 504541, 7423",104375
tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,1982,81,"comedy, documentation",GB,7.9,15230.0,6.833,7.4,"1549, 11472, 11473, 11474, 11475, 11476, 11478, 11482","64700, 16383"
tm52815,Disco Dancer,MOVIE,1982,106,"drama, romance",IN,6.4,1476.0,7.879,5.3,"771840, 105222, 468620, 2034831, 2034837, 504857, 504858, 147354, 2034848, 66220, 135468, 1055536, 63667, 2034621, 907586, 91080, 469459, 199763, 1544152, 518748, 14176, 150758, 1012851, 487030, 216444, 2034814",483456
tm159912,Agneepath,MOVIE,1990,174,"drama, action, crime",IN,7.6,8947.0,4.062,6.5,"64512, 62784, 476708, 299653, 20201, 136810, 191147, 6958, 119184, 429617, 63667, 61587, 69270, 66839, 1544152, 14173",372949
tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,72,comedy,GB,8.1,1522.0,1.801,6.9,"16832, 1549, 11472, 11473, 11474, 11475, 11476",16383
tm38736,Too Young The Hero,MOVIE,1988,100,"drama, war",US,6.7,502.0,1.485,6.2,"11528, 20898, 21117, 7298",105250
tm51083,A Stoning in Fulham County,MOVIE,1988,120,"thriller, crime, drama",US,5.9,387.0,1.01,5.8,"30112, 36865, 396579, 37668, 95111, 1896, 65453, 2929, 17912, 7065, 21471, 32255",132198
tm137013,The Ryan White Story,MOVIE,1989,102,drama,US,7.2,863.0,1.981,5.9,"13184, 15813, 22246, 24519, 478181, 10441, 484329, 1543302, 399116, 170221, 25455, 23060, 1652, 14874, 32570",19028
tm157603,Dil,MOVIE,1990,172,"drama, comedy, romance",IN,6.6,5316.0,3.992,6.5,"1345, 14177, 66216, 616428, 68237, 61013, 61018, 201243",68124
tm258072,Adam: His Song Continues,MOVIE,1986,100,"crime, drama",US,7.0,212.0,1.603,7.0,"182567, 12810, 492364, 13679, 4020, 34424, 33785",126482
tm114356,The George McKenna Story,MOVIE,1988,100,drama,US,6.0,921.0,2.296,6.1,"3776, 17668, 505317, 444836, 63080, 205833, 108171, 34424, 47308, 18286, 493938, 1483731, 27957, 80152, 28831",59733
tm157853,In Defense of a Married Man,MOVIE,1990,94,"drama, crime",US,5.6,207.0,2.444,4.9,"53376, 12802, 91781, 57621, 46104, 114589, 14493, 38946, 93350, 113863, 82506, 22610, 444243, 488282, 32607, 25455, 33401, 274431, 147321, 243066, 50555, 20991",107666
tm446654,Mujrim,MOVIE,1989,162,"drama, action, crime",IN,5.4,197.0,1.418,6.0,"62784, 63303, 216330, 206634, 38637, 54349, 69039, 63667, 65975, 61018, 447831",434193
tm348735,Aakhri Adaalat,MOVIE,1988,148,"action, crime, thriller",IN,5.1,92.0,1.374,5.0,"62784, 81473, 53154, 150754, 63362, 464674, 483458, 105257, 69034, 54349, 64558, 104975, 38640, 132269, 61587, 1544152, 459933",462999
tm151332,"Alexandria, Again and Forever",MOVIE,1989,105,drama,"FR, EG",6.5,658.0,0.817,5.3,"215296, 173191, 266396, 1095845, 140326, 217637, 1528491, 1117491, 172478, 138049, 332610, 741065, 740561, 668881, 223456, 481761, 361825, 215652, 391527, 557940, 1117688, 537213",173191
tm24110,Strange Voices,MOVIE,1987,100,drama,US,6.3,360.0,2.76,6.8,"697346, 427779, 270596, 84484, 112903, 1359111, 97421, 466320, 21909, 182169, 384675, 474918, 95788, 911918, 60208, 74677, 83253, 64193, 1359307, 819150, 260703, 656610, 91626, 30318, 454516, 33398, 1359095, 10109",66030
tm371359,Jaal,MOVIE,1986,159,"action, drama, thriller",IN,5.2,125.0,3.366,5.0,"61586, 818836, 464674, 143403, 69035, 132269, 434349, 69039, 63667, 63668, 55477, 196795, 62784, 837698, 837699, 162758, 68168, 54349, 199763, 150754, 479866, 483455",434193
tm55091,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,100,drama,US,7.2,144.0,2.246,8.0,"20129, 59778, 17912, 9288, 4075, 302573, 4718, 17999, 170221, 4369, 4341, 299990, 7608, 421148, 421149, 6302",421150
tm172482,Sohni Mahiwal,MOVIE,1984,160,"romance, drama, action",IN,6.1,297.0,6.052,5.8,"57761, 173252, 65157, 105221, 148261, 68168, 105220, 54349","434193, 514365"
tm419052,Ek Jaan Hain Hum,MOVIE,1983,151,"family, romance",IN,6.3,70.0,0.986,7.0,,462999
tm47673,An Egyptian Story,MOVIE,1982,129,"drama, fantasy",EG,7.3,1126.0,1.77,6.7,"412768, 332610, 2317355, 381068, 506478, 223452, 1285693",173191
